code,name_fr,name_en,title_fr,title_en,friendly_url_en,friendly_url_fr
antique,Antique,Antique,Antique,Antique,,
antiqueunique,Antique et pièce unique,Antique and unique piece,Antique et pièce unique,Antique and unique piece,,
aviation,Aviation,Aviation,Aviation,Aviation,,
industrialboat,Bateau Industriel,Industrail boat,Bateau Industriel,Industrail boat,,
recycledboat,Bateau recyclé,Recycled boat,Bateau recyclé,Recycled boat,,
railroad,Chemin de fer,Railroad,Chemin de fer,Railroad,,
industrialchic,Chic industriel,Indusrial chic,Chic industriel,Indusrial chic,,
thaicussion,Coussin thaï,Thai cussion,Coussin thaï,Thai cussion,,
fabric,Fabric,Fabric,Fabric,Fabric,,
green,Green,Green,Green,Green,,
hobi,Hobi,Hobi,Hobi,Hobi,,
indo,Indo,Indo,Indo,Indo,,
iron,Iron,Iron,Iron,Iron,,
indolamp,Lampe Indo,Indo Lamp,Lampe Indo,Indo Lamp,,
local,Local,Local,Local,Local,,
nature,Nature,Nature,Nature,Nature,,
organic,Organique et pièce unique,Organic and unique piece,Organique et pièce unique,Organic and unique piece,,
percu,Percu,Percu,Percu,Percu,,
unique,Pièce unique,Unique piece,Pièce unique,Unique piece,,
roots,Roots,Roots,Roots,Roots,,
uniqueroots,"Roots, pièce unique","Roots, unique piece","Roots, pièce unique","Roots, unique piece",,
rosewood,Rosewood,,Rosewood,,,
sherazed,Sherazed,Sherazed,Sherazed,Sherazed,,
suar,Suar,Suar,Suar,Suar,,
temple,Temple,Temple,Temple,Temple,,
thai,Thaï,Thai,Thaï,Thai,,
tibet,Tibet,Tibet,Tibet,Tibet,,
tolix,Tolix,Tolix,Tolix,Tolix,,
velvet,Velours,Velvet,Velours,Velvet,,
vintage,Vintage,Vintage,Vintage,Vintage,,
vintagecanvas,Vintage Canvas,Vintage Canvas,Vintage Canvas,Vintage Canvas,,
vintagegreen,Vintage Green,Vintage Green,Vintage Green,Vintage Green,,
industrialvintage,Vintage industriel,Vintage industrial,Vintage industriel,Vintage industrial,,